nombre;year;cantidad;diff
ABBYGAIL ;2014;1;0,0
ABBYGAIL ;2015;1;0,0
ABBYGAIL ;2016;1;0,0
ABBYGAIL ;2018;2;1,0
ABBYGAIL ;2019;1;-1,0
ABBYGAIL ;2021;1;0,0
ABBYLY ;2018;1;0,0
ABBYS ;2014;1;0,0
ABD ;2018;1;0,0
ABDA ;2013;1;0,0
ABDAEL ;2011;1;0,0
ABDAEL ;2013;1;0,0
ABDAEL ;2016;1;0,0
ABDAIL ;2017;1;0,0
ABDALAI ;2020;1;0,0
ABDALAN ;2012;1;0,0
ABDALI ;2021;1;0,0
ABDALLAH ;2014;1;0,0
ABDALLATH ;2016;1;0,0
ABDALY ;2018;1;0,0
ABDALY ;2019;1;0,0
ABDANA ;2011;1;0,0
ABDAYR ;2016;1;0,0
ABDAYÁN ;2019;1;0,0
ABDDIEL ;2018;1;0,0
ABDEEL ;2011;1;0,0
ABDEEL ;2012;1;0,0
ABDEEL ;2021;1;0,0
ABDEL ;2010;1;0,0
ABDEL ;2011;2;1,0
ABDEL ;2012;3;1,0
ABDEL ;2013;1;-2,0
ABDEL ;2014;3;2,0
ABDEL ;2015;2;-1,0
ABDEL ;2016;2;0,0
ABDEL ;2017;5;3,0
ABDEL ;2018;5;0,0
ABDEL ;2019;7;2,0
ABDEL ;2020;7;0,0
ABDEL ;2021;6;-1,0
ABDEL- ;2018;1;-5,0
ABDEL-ILAH ;2017;1;0,0
ABDELE ;2014;1;0,0
ABDELHAMID ;2018;1;0,0
ABDELL ;2014;1;0,0
ABDELLAH ;2011;1;0,0
ABDENS ;2017;1;0,0
ABDENS ;2019;1;0,0
ABDHEL ;2017;1;0,0
ABDHIAS ;2014;1;0,0
ABDHIEL ;2012;1;0,0
ABDI ;2011;1;0,0
ABDIA ;2014;1;0,0
ABDIAS ;2010;4;3,0
ABDIAS ;2011;7;3,0
ABDIAS ;2012;13;6,0
ABDIAS ;2013;7;-6,0
ABDIAS ;2014;9;2,0
ABDIAS ;2015;5;-4,0
ABDIAS ;2016;12;7,0
ABDIAS ;2017;14;2,0
ABDIAS ;2018;5;-9,0
ABDIAS ;2019;12;7,0
ABDIAS ;2020;11;-1,0
ABDIAS ;2021;11;0,0
ABDIASLY ;2019;1;-10,0
ABDIEEL ;2014;1;0,0
ABDIEL ;2010;28;27,0
ABDIEL ;2011;28;0,0
ABDIEL ;2012;30;2,0
ABDIEL ;2013;37;7,0
ABDIEL ;2014;52;15,0
ABDIEL ;2015;45;-7,0
ABDIEL ;2016;45;0,0
ABDIEL ;2017;58;13,0
ABDIEL ;2018;64;6,0
ABDIEL ;2019;117;53,0
ABDIEL ;2020;110;-7,0
ABDIEL ;2021;76;-34,0
ABDIELA ;2010;1;-75,0
ABDIELL ;2015;1;0,0
ABDIELL ;2020;1;0,0
ABDIELL ;2021;2;1,0
ABDIER ;2020;1;-1,0
ABDIHEL ;2016;1;0,0
ABDO ;2018;1;0,0
ABDOLASIS ;2015;1;0,0
ABDOM ;2021;1;0,0
ABDON ;2015;2;1,0
ABDONAEL ;2019;1;-1,0
ABDOU ;2015;1;0,0
ABDOU ;2018;1;0,0
ABDRIEL ;2013;1;0,0
ABDRIEL ;2016;1;0,0
ABDRIEL ;2018;1;0,0
ABDRIEL ;2020;1;0,0
ABDUL ;2010;2;1,0
ABDUL ;2011;3;1,0
ABDUL ;2013;1;-2,0
ABDUL ;2014;1;0,0
ABDUL ;2015;2;1,0
ABDUL ;2017;1;-1,0
ABDUL ;2018;2;1,0
ABDUL ;2019;3;1,0
ABDUL ;2020;2;-1,0
ABDULAH ;2019;1;-1,0
ABDULAZIZ ;2015;1;0,0
ABDULLAH ;2011;1;0,0
ABDULLAH ;2015;1;0,0
ABDULLOH ;2020;1;0,0
ABDURRAHMAN ;2014;1;0,0
ABDWENSLEY ;2020;1;0,0
ABDYEL ;2012;2;1,0
ABDYEL ;2013;1;-1,0
ABDYEL ;2016;1;0,0
ABDYEL ;2018;2;1,0
ABDYEL ;2021;1;-1,0
ABDÉF ;2019;1;0,0
ABDÉLYNE ;2018;1;0,0
ABDÌAS ;2013;1;0,0
ABDÍAS ;2010;2;1,0
ABDÍAS ;2012;1;-1,0
ABDÍAS ;2013;5;4,0
ABDÍAS ;2014;1;-4,0
ABDÍAS ;2015;3;2,0
ABDÍAS ;2017;2;-1,0
ABDÍAS ;2018;3;1,0
ABDÍAS ;2019;5;2,0
ABDÍAS ;2021;2;-3,0
ABDÓN ;2010;3;1,0
ABDÓN ;2011;1;-2,0
ABDÓN ;2012;5;4,0
ABDÓN ;2013;3;-2,0
ABDÓN ;2015;3;0,0
ABDÓN ;2016;1;-2,0
ABDÓN ;2017;3;2,0
ABDÓN ;2018;2;-1,0
ABDÓN ;2019;2;0,0
ABDÓN ;2021;2;0,0
ABDÓNN ;2015;1;-1,0
ABED ;2012;1;0,0
ABED ;2013;1;0,0
ABED ;2014;1;0,0
ABED ;2016;1;0,0
